# $Id: O-2.dat 68 2014-02-18 23:49:56Z nicb $
#
# Fausto Razzi
# O S T I N A T O   2   (versione definitiva)
#
# DURATA TOTALE = 786" = 13'06"  
#
#
# !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
# NUMERAZIONE SOUNDIN secondo LINK.BAT
# !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
#
#  test ricorrenza voci         con tro                   17
#                               sem pre                   7
#                               nel tem po                9
#
#                               contro                    30
#                               sempre                    16
#                               questa resistenza         12
#                               nel tempo                 10 
#                               contro i nemici di classe 8
#                               si rinnova nel tempo      7 
#                               in altre forme            7   
#                               si rinnova                5  
#                               in forme antiche          4
#
# riverbero
#
direct|i99 0 789
#
#    
#    
# BASSO
# durata relativa = 768
# durata assoluta = 783 
#
# 
basso|15|67|52|-2.5|arpa-4-g.aiff|1.47|2|2|0|1.9|1.1|65|0|0.2| arpa1.1
basso|15|67|52|-2.47|arpa-4-h.aiff|1.47|2|1|-0.0043|1.9|1.1|65|0|0.8| arpa2.1
basso|481|47|33|-2.5|arpa-4-g.aiff|1.47|2|2|0|1.9|1.1|79.9118|2|0.2| arpa1.2 
vlrip|170|11|8|-1|c-tro-1.aiff|-1|66|0.55|0|A2.16 - con tro
vlrip|173|10|6|-1|s-pre-2.aiff|-1|66|0.52|0|A2.17 - sem pre  
vlrip|175|9|4|-1|t-po-1.aiff|-1|66|0.5|0|A2.18 - nel tem po
vlrip|176|8|2|-1|sempre-3.aiff|-1|66|0.5|0|A2.19 - sempre 
#
#
# VOCE SANGUINETI 
#
direct|i1 242.00 3 79 200 47 0 0.50 0.50
direct|i1 362.00 3 79 200 48 0 0.50 0.50 
direct|i1 436.00 3 79 200 49 0 0.50 0.50
direct|i1 452.00 3 79 200 45 0 0.50 0.50 
direct|i1 466.50 3 79 200 50 0 0.50 0.50 
direct|i1 767.00 3 88 200 44 0 0.50 0.50 
direct|i1 770.00 3 88 200 45 0 0.50 0.50
direct|i1 773.00 3 88 200 46 0 0.50 0.50 
direct|i1 776.00 3 88 200 47 0 0.50 0.50
direct|i1 779.00 3 88 200 48 0 0.50 0.50 
direct|i1 782.00 3 88 200 49 0 0.50 0.50
direct|i1 785.00 3 88 200 50 0 0.50 0.50 
#  
#
# VOCE A31
# coeff.di incremento: da -0.5 a 0.65   (-0.5 -0.009)
# durata rel.= 154.875 (linea1 + linea 7)
